model,params,test_accuracy,macro_f1,train_time_min
Baseline CNN,464900,0.9950617283950617,0.9950665805883501,41.23703871965408
MobileNetV2 (TL+FT),2304100,0.9980246913580247,0.9980317032873189,27.92760490179062
