epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.38238096237182617,1.743760347366333,0.001,0.48098766803741455,1.3500784635543823
1,0.6260582208633423,1.0322450399398804,0.001,0.29641973972320557,6.335619926452637
2,0.7388624548912048,0.7381094694137573,0.001,0.6641975045204163,1.0215458869934082
3,0.8144708871841431,0.548114538192749,0.001,0.5043209791183472,2.0504090785980225
4,0.8626984357833862,0.43108272552490234,0.001,0.7014814615249634,1.0358028411865234
5,0.9130159020423889,0.29825204610824585,0.0005,0.9112345576286316,0.3248275816440582
6,0.9250528812408447,0.2631373107433319,0.0005,0.9612345695495605,0.16473227739334106
7,0.9382539391517639,0.22762402892112732,0.0005,0.95876544713974,0.1652594804763794
8,0.9434655904769897,0.2132914960384369,0.0005,0.9843209981918335,0.10289556533098221
9,0.9518783092498779,0.19102154672145844,0.0005,0.9702469110488892,0.13489799201488495
10,0.9573280215263367,0.17396694421768188,0.0005,0.9827160239219666,0.09821289032697678
11,0.9600793719291687,0.1628546565771103,0.0005,0.9123457074165344,0.28581905364990234
12,0.9650793671607971,0.14717718958854675,0.0005,0.9624691605567932,0.1441998928785324
13,0.9769312143325806,0.11523287743330002,0.00025,0.9954320788383484,0.05916241183876991
14,0.9776719808578491,0.1076231300830841,0.00025,0.9938271641731262,0.059566766023635864
