epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9910053014755249,0.029441744089126587,1e-05,0.9951851963996887,0.016371726989746094
1,0.9933333396911621,0.019874373450875282,1e-05,0.9962962865829468,0.011329478584229946
2,0.9957936406135559,0.013391166925430298,1e-05,0.9985185265541077,0.005360713228583336
3,0.9962962865829468,0.01097181998193264,1e-05,0.9979012608528137,0.007065468467772007
4,0.9969311952590942,0.008793110959231853,1e-05,0.9976543188095093,0.0064948322251439095
