epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8955555558204651,0.43394336104393005,0.001,0.9803703427314758,0.08446776121854782
1,0.9718782901763916,0.10658052563667297,0.001,0.9881481528282166,0.048602450639009476
2,0.9791534543037415,0.0735500380396843,0.001,0.9902468919754028,0.04015100747346878
3,0.9803968071937561,0.06542341411113739,0.001,0.9916049242019653,0.03487750515341759
4,0.9820634722709656,0.05821697786450386,0.001,0.9904938340187073,0.03350275009870529
5,0.9825661182403564,0.05523088201880455,0.001,0.9924691319465637,0.026225609704852104
6,0.9824073910713196,0.05490893870592117,0.001,0.9923456907272339,0.026647338643670082
7,0.9843651056289673,0.050146982073783875,0.001,0.9917283654212952,0.026972666382789612
8,0.9871693253517151,0.04034852609038353,0.0005,0.9920987486839294,0.023897506296634674
9,0.9875925779342651,0.03903002291917801,0.0005,0.9933333396911621,0.021256566047668457
